Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
64/2012,PREGÃO PRESENCIAL,36,07-05-2012 08:30,,20-04-2012,Encerrado,"Aquisição de 01 (uma) motocicleta e 04 (quatro) veículos, todos novos, destinado aos Departamentos de Serviços Públicos, Assistência Rural e Promoção Humana.",,,,,
63/2012,PREGÃO PRESENCIAL,35,27-04-2012 08:30,,16-04-2012,Encerrado,"Aquisição de equipamentos hospitalares, odontológicos, eletrodomésticos, mobiliários, e de informática, para os Departamentos de Saúde e Promoção Humana.",,,,,
61/2012,PREGÃO PRESENCIAL,34,24-04-2012 13:30,,11-04-2012,Encerrado,"Aquisição de gêneros alimentícios, materiais descartáveis, artigos para decoração, bem como locação de cadeiras e mesas, visando atendimento aos Projetos desenvolvidos no Centro de Referencia de Assistência Social - CRAS, situado à Rua João de Almeida ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 5 de, 8,,,
,,,,,,,"Macedo, nº 469, Bairro Centro, Prata.",,,,,
60/2012,PREGÃO PRESENCIAL,33,24-04-2012 08:30,,11-04-2012,Encerrado,Aquisição de cloro para manutenção do Centro de Esportes e Lazer - CEL.,,,,,
71/2012,DISPENSA DE LICITAÇÃO,16,23-04-2012 17:00,,30-05-2012,Encerrado,"Contratação de pessoa jurídica, visando a locação de um veículo com capacidade mínima de 40 (quarenta) passageiros, para serviços de transporte escolar intermunicipal, atendendo as necessidades do Departamento de Educação deste Município.",,,,,
70/2012,DISPENSA DE LICITAÇÃO,15,23-04-2012 10:00,,25-04-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra para revisão de garantia de 250 horas da máquina Retroescavadeira, marca Liugong, modelo 766, Procedência Chinesa, série 000789, a serviço do Departamento de Assistência Rural.",,,,,
66/2012,DISPENSA DE LICITAÇÃO,14,20-04-2012 10:00,,24-04-2012,Encerrado,"Aquisição de medicamento para a paciente Abadia Aparecida Tirone Silva, conforme determinação de Ação Sumária com Pedido urgente de antecipação de Tutela imposta ao Município de Prata-MG, no Processo nº 31.86-83.2012.4.01.3803 do Poder Judiciário, da 4ª Vara - do Juizado Especial Federal - Subseção Judiciária de Uberlândia-MG.",,,,,
52/2012,PREGÃO PRESENCIAL,32,16-04-2012 08:30,,30-03-2012,Encerrado,Aquisição de materiais odontológicos para manutenção do Centro Odontológico Municipal e PSF´s.,,,,,
51/2012,PREGÃO PRESENCIAL,31,13-04-2012 08:30,,29-03-2012,Encerrado,"Aquisição de gêneros alimentícios visando atendimento das campanhas de vacinação: do Idoso, contra poliomielite de (0 a 5) anos, antirrábica, e dos mutirões de combate a dengue e outras atividades de controle de zoonoses desenvolvidas pela Vigilância Epidemiológica - Departamento de Saúde.",,,,,
50/2012,PREGÃO PRESENCIAL,30,12-04-2012 08:30,,29-03-2012,Encerrado,"Contratação de empresa para prestação de serviços técnicos especializados para digitalização e gerenciamento de documentos municipais, da Prefeitura Municipal de Prata.",,,,,
59/2012,DISPENSA DE LICITAÇÃO,13,10-04-2012 13:00,,11-04-2012,Encerrado,"Prestação de serviços na realização de evento festivo denominado ""Festa do Idoso"", visando disponibilizar espaço para atividades de lazer e homenagem às pessoas da 3ª idade.",,,,,
47/2012,PREGÃO PRESENCIAL,29,09-04-2012 08:30,,23-03-2012,Encerrado,"Aquisição de cadeiras e carteiras escolares, atendendo as necessidades as necessidades das Escolas da Rede Municipal.",,,,,
46/2012,PREGÃO PRESENCIAL,28,04-04-2012 08:30,,23-03-2012,Encerrado,"Contratação de instrutor de dança, para os Projetos do CRAS ""Ela Dança, Eu Danço"", e ""Saber Viver"" com objetivo de desenvolver técnicas de dança com jovens adolescentes e socialização das pessoas da 3ª idade, no Centro de Referência da Assistência Social - CRAS, situado à Rua João de Almeida Macedo, nº 469, Bairro Centro, Prata-MG",,,,,
58/2012,DISPENSA DE LICITAÇÃO,12,02-04-2012 16:00,,11-04-2012,Encerrado,"Contratação de empresa para prestação de serviços de remendos de pneus para os veículos, motos e máquinas da frota da Prefeitura Municipal de Prata-MG.",,,,,
57/2012,DISPENSA DE LICITAÇÃO,11,02-04-2012 14:00,,11-04-2012,Encerrado,"Contratação de empresa para prestação de serviço de instalação elétrica na torre do Almoxarifado Municipal, situado a Rua Alcântara Elias Camargos, nº 250, Bairro Jardim Ana Carolina, Prata-MG.",,,,,
55/2012,DISPENSA DE LICITAÇÃO,10,02-04-2012 08:30,,11-04-2012,Encerrado,Aquisição de cloro para manutenção do Centro de Esportes e Lazer - CEL.,,,,,
54/2012,INEXIGIBILIDADE DE LICITAÇÃO,9,29-03-2012 09:30,,10-04-2012,Encerrado,"Aquisição de peças novas e serviços de revisão programada de 2.750 horas de operação para manutenção preventiva da máquina Motoniveladora G930, marca Volvo, serie 501413, marca do Departamento de Assistência Rural.",,,,,
53/2012,DISPENSA DE LICITAÇÃO,9,29-03-2012 09:00,,02-04-2012,Encerrado,"Contratação de empresa especializada para execução de serviços afetos à Agência Transfusional, do Município de Prata-MG, localizada no Hospital Renascer, durante o período de 01/04/2012 à 01/06/2012.",,,,,
41/2012,PREGÃO PRESENCIAL,27,23-03-2012 08:30,,12-03-2012,Revogado,"Prestação de serviços na realização de evento festivo denominado ""Festa do Idoso"", visando disponibilizar espaço para atividades de lazer e homenagem às pessoas da 3ª idade.",,,,,
48/2012,INEXIGIBILIDADE DE LICITAÇÃO,8,22-03-2012 14:00,,10-04-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para manutenção programada de 60.000 do veículo Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2010, placa HLF-1557, bem como aquisição de peças novas e serviços de mão de obra mecânica para manutenção do veículo Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2009, placa HLF-1556, a serviço do Departamento de Assistência Rural.


",,,,,
40/2012,PREGÃO PRESENCIAL,26,20-03-2012 08:30,,07-03-2012,Encerrado,Aquisição de materiais de expediente para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata.,,,,,
39/2012,PREGÃO PRESENCIAL,25,13-03-2012 14:00,,28-02-2012,Encerrado,",Aquisição de herbicidas e inseticidas para serem usados na manutenção das vias urbanas.",,,,,
38/2012,PREGÃO PRESENCIAL,24,13-03-2012 08:30,,28-02-2012,Encerrado,Contratação de gráfica para confecção de impressos personalizados de guia de IPTU/2012 para atender a Divisão de Tributação e Cadastro.,,,,,
37/2012,PREGÃO PRESENCIAL,23,12-03-2012 08:30,,28-02-2012,Encerrado,"Aquisição de ferramentas, materiais hidráulicos e de construção em geral para manutenção de Prédios e Logradouros Públicos do Município de Prata-MG.",,,,,
36/2012,PREGÃO PRESENCIAL,22,09-03-2012 08:30,,27-02-2012,Encerrado,"Aquisição de mata burros de concreto pré moldado para manutenção em diversas estradas rurais do Municipio de Prata, atendendo as necessidades do Departamento de Assistência ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 6 de, 8,,,
,,,,,,,Rural.,,,,,
35/2012,PREGÃO PRESENCIAL,21,08-03-2012 08:30,,24-02-2012,Encerrado,Aquisição de medicamentos para o Departamento de Saúde.,,,,,
34/2012,PREGÃO PRESENCIAL,20,07-03-2012 08:30,,23-02-2012,Encerrado,"Contratação de serviços de locação de um trator esteira, incluso por conta do locador as despesas com operador, combustível e manutenção do veículo, atendendo as necessidades do Departamento de Serviços Públicos.",,,,,
30/2012,PREGÃO PRESENCIAL,19,05-03-2012 08:30,,17-02-2012,Encerrado,"Contratação de animador (musico) para realização de Bailes dos Idosos ""Projeto Saber Viver"", no Centro de Referência da Assistência Social - CRAS, situado à Rua João de Almeida Macedo, nº 469, Bairro Centro, Prata, no período de março a dezembro de 2012.",,,,,
29/2012,PREGÃO PRESENCIAL,18,01-03-2012 08:30,,14-02-2012,Encerrado,Aquisição de materiais para serem usados na manutenção da rede de esgotos sanitários.,,,,,
27/2012,PREGÃO PRESENCIAL,17,28-02-2012 08:30,,13-02-2012,Encerrado,Aquisição de materiais de limpeza e utensílios para suprir as necessidades dos Departamentos da Prefeitura Municipal.,,,,,
21/2012,TOMADA DE PREÇOS,4,23-02-2012 08:30,,01-02-2012,Encerrado,"Contratação de empresa para execução de serviços de engenharia para reforma do Prédio da Biblioteca Municipal, situada na Praça Getúlio Vargas, Bairro Centro, na cidade de Prata-MG.",,,,,
31/2012,INEXIGIBILIDADE DE LICITAÇÃO,4,17-02-2012 10:00,,06-03-2012,Encerrado,"Contratação de empresa para prestação de serviços técnicos e administrativos com fornecimento de materiais e equipamentos estratégicos para serem aplicados em extensão, substituição e instalação de rede de distribuição urbana do município de Prata-MG.",,,,,
20/2012,TOMADA DE PREÇOS,3,17-02-2012 08:30,,01-02-2012,Encerrado,"Contratação de empresa para execução de serviços de engenharia para reforma da Escola Municipal Dom Pedro II, localizada na Fazenda Buriti Alto, Comunidade das Três Barras, no município de Prata-MG.",,,,,
24/2012,PREGÃO PRESENCIAL,16,16-02-2012 08:30,,03-02-2012,Encerrado,"Contratação de empresa especializada para fornecimento de fogos de artifício, para atender as demandas provenientes dos eventos da Prefeitura Municipal de Prata-MG.",,,,,
19/2012,PREGÃO PRESENCIAL,15,14-02-2012 08:30,,31-01-2012,Encerrado,"Aquisição de cadeiras, carteiras e cadernos escolares, atendendo as necessidades das escolas municipais.",,,,,
18/2012,PREGÃO PRESENCIAL,14,13-02-2012 08:30,,31-01-2012,Encerrado,Aquisição de gêneros alimentícios para merenda escolar.,,,,,
16/2012,PREGÃO PRESENCIAL,13,10-02-2012 08:30,,30-01-2012,Encerrado,Contratação de gráfica para confecção de impressos personalizados para atender as Escolas da rede municipal de ensino - Recurso 40% Fundeb.,,,,,
15/2012,PREGÃO PRESENCIAL,12,09-02-2012 08:30,,27-01-2012,Encerrado,"Aquisição de materiais de construção para manutenção de pontes e mata burros em diversas estradas rurais do Município de Prata, atendendo as necessidades do Departamento de Assistência Rural.",,,,,
14/2012,PREGÃO PRESENCIAL,11,08-02-2012 08:30,,25-01-2012,Encerrado,Aquisição de 4.000 (quatro mil) cobertores novos de casal para atender famílias carentes do município de Prata.,,,,,
26/2012,DISPENSA DE LICITAÇÃO,3,08-02-2012 08:00,,10-02-2012,Encerrado,"Realização do Carnaval 2012, com exploração comercial da área destinada ao evento.",,,,,
13/2012,PREGÃO PRESENCIAL,10,07-02-2012 08:30,,25-01-2012,Encerrado,Aquisição de materiais de construção e elétrico para atender famílias carentes do município de Prata.,,,,,
12/2012,PREGÃO PRESENCIAL,9,06-02-2012 08:30,,24-01-2012,Encerrado,Aquisição de 300 (trezentas) cestas básicas de produtos alimentícios para atendimento as pessoas carentes do Município de Prata.,,,,,
11/2012,PREGÃO PRESENCIAL,8,03-02-2012 08:30,,20-01-2012,Encerrado,Aquisição de alimentação pronta (marmitex) destinada a diversos Departamentos da Prefeitura Municipal de Prata.,,,,,
10/2012,PREGÃO PRESENCIAL,7,02-02-2012 08:30,,19-01-2012,Encerrado,"Contratação de empresa especializada para prestação de serviços de locação de aparelho Bipap Auto Bi-flex, com umidificador aquecido, gerenciador de backup e descartáveis, para paciente com apneia do sono, atendido pelo Departamento de Saúde.",,,,,
9/2012,TOMADA DE PREÇOS,2,01-02-2012 08:30,,17-01-2012,Encerrado,"Contratação de empresa de engenharia para execução de serviços para ampliação do Prédio do Almoxarifado Municipal, situado a Rua Alcântara Elias Camargos, nº 250, Bairro Jardim Ana Carolina, Prata/MG.
",,,,,
23/2012,DISPENSA DE LICITAÇÃO,2,31-01-2012 13:00,,23-02-2012,Encerrado,"Aquisição de 41 licenças de software antivírus Trend Micro Standard, e renovação de 69 licenças de software antivírus Trend Micro Standard, com serviço de suporte técnico e atualização de versão e manutenção da garantia de atualização de versões, pelo período de 12 meses, atendendo as estações de trabalho e servidores da Prefeitura Municipal de Prata-MG.",,,,,
22/2012,DISPENSA DE LICITAÇÃO,1,31-01-2012 08:00,,23-02-2012,Encerrado,"Contratação de empresa especializada para execução de serviços de manutenção do poço artesiano, localizado na Avenida Presidente Vargas do Distrito do Patrimônio Rio do Peixe, no município de Prata-MG.",,,,,
17/2012,INEXIGIBILIDADE DE LICITAÇÃO,2,27-01-2012 13:00,,03-02-2012,Encerrado,"Contratação de empresa para prestação de serviços técnicos e administrativos com fornecimento de materiais e equipamentos estratégicos para serem aplicados em extensão, remoção, substituição e instalação de rede de distribuição urbana do município de Prata-MG.",,,,,
7/2012,TOMADA DE PREÇOS,1,27-01-2012 08:30,,11-01-2012,Encerrado,"Contratação de empresa especializada no ramo de engenharia para fornecimento, usinagem e aplicação de 1.000 toneladas de massa asfáltica em CBUQ (concreto betuminoso usinado a quente) destinado a operação de ""tapa buraco"", em diversas ruas e logradouros do município.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 7 de, 8,,,
8/2012,PREGÃO PRESENCIAL,6,25-01-2012 08:30,,12-01-2012,Encerrado,Aquisição de ração para cães adultos e filhotes para manutenção do Canil Municipal.,,,,,
6/2012,PREGÃO PRESENCIAL,5,23-01-2012 08:30,,10-01-2012,Encerrado,Aquisição de gêneros alimentícios para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata.,,,,,
5/2012,PREGÃO PRESENCIAL,4,19-01-2012 08:30,,09-01-2012,Fracassado,Aquisição de gêneros alimentícios para merenda escolar.,,,,,
4/2012,PREGÃO PRESENCIAL,3,18-01-2012 08:30,,06-01-2012,Encerrado,"Aquisição de oxigênio medicinal, oxigênio industrial e gás acetileno, bem como locação de cilindros para oxigênio medicinal, industrial e gás acetileno para atender ao Departamento de Saúde e à Divisão de Oficina e Almoxarifado da Prefeitura Municipal de Prata-MG.",,,,,
2/2012,PREGÃO PRESENCIAL,2,17-01-2012 08:30,,05-01-2012,Encerrado,Aquisição de camisetas escolares para uniformizar os alunos do ensino infantil das escolas municipais de Prata-MG.,,,,,
1/2012,PREGÃO PRESENCIAL,1,16-01-2012 08:30,,04-01-2012,Encerrado,Aquisição de recipiente e recarga de gás GLP de 13 Kg para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata.,,,,,
3/2012,INEXIGIBILIDADE DE LICITAÇÃO,1,04-01-2012 10:00,,10-01-2012,Encerrado,Contratação de empresa para prestação de serviços técnicos e administrativos com fornecimento de materiais e equipamentos estratégicos para serem aplicados em extensão e instalação de rede de distribuição urbana do município de Prata-MG.,,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 8 de, 8,,,
188/2016,CONCORRENCIA PÚBLICA,,,2,30-12-2016 08:30,,,10-11-2016,Encerrado,"Contratação de serviços de acompanhamento, monitoramento e revisão das DAMEF´S e Índices do Movimento Econômico, apurados pelas declarações transmitidas pelas empresas com operação no território do Município de Prata, para formação do Índice de Participação do Município, de acordo com a legislação aplicável; prestação de serviços de acompanhamento de processos judiciais na segunda instância (TJMG - TRT - TRF) e terceira instância (STJ e STF); acompanhamento de processos administrativos no TCE-MG e TCU; atuação em demandas e casos de alta indagação, atendimento das necessidades da Administração Municipal, mediante emissão de pareceres e elaboração de estudos solicitados pelos diversos setores da Prefeitura Municipal.",,
199/2016,PREGÃO PRESENCIAL,,,76,28-12-2016 08:30,,,16-12-2016,Encerrado,"Contratação de empresa para realização de evento destinado a comemoração do ""Reveillon 2016"", nos dias 31 de Dezembro de 2016 e 01 de Janeiro de 2017, na Praça XV de Novembro, Centro, Prata - MG.",,
203/2016,INEXIGIBILIDADE DE LICITAÇÃO,,,12,26-12-2016 14:00,,,27-12-2016,Encerrado,"Contratação de empresa para realização de show artístico com a dupla ""Jânio e Junior"", para realização de Evento destinado a comemoração do ""Reveillon 2016"", nos dias 31 de Dezembro de 2016 e 01 de Janeiro de 2017, início previsto às 22:30hrs e término às 00:30hrs, na Praça XV de Novembro, Centro, Prata - MG.",,
